Seq,Task ID,제목,Category,Implementation Status,Requirement Ref,Screen,Route,Page Entry,Depends On,Expected Files,Functional AC,Visual AC,Security/Privacy AC,Verify,Priority,Detail File,Detail File Exists,wave_id
11,CMP-SCR001-ABOUT-TEASER,free_traveler 소개 요약 섹션,COMPONENT,IMPLEMENT,(파생 — REQ-FUNC-057 요약 재사용),SCR-001,`/`,-,DATA-REPRESENTATIVE,`src/app/_components/scr001/AboutTeaser.tsx`(create),"좌측 텍스트+50+/30+ 배지, 우측 이미지, ""대표 이야기 더 보기"" CTA → `/about`","좌우 분할 레이아웃, Desktop 1열 Mobile 스택",해당 없음,E2E-PUBLIC-SMOKE,P1,TASKS/TASK-CMP-SCR001-ABOUT-TEASER.md,True,W04
12,CMP-SCR002-HERO-STATS,대표 Hero + 여행 지표,COMPONENT,IMPLEMENT,REQ-FUNC-057,SCR-002,`/about`,-,DATA-REPRESENTATIVE,`src/app/_components/scr002/ProfileHeroStats.tsx`(create),"대표명·50+ Trips·30+ Countries·한 줄 소개 표시, Hero 높이 제한; Lorem ipsum 금지","Stat 카드 3개, 코랄 강조 없이 ink 텍스트",해당 없음,E2E-PUBLIC-SMOKE,P0,TASKS/TASK-CMP-SCR002-HERO-STATS.md,True,W05
13,CMP-SCR002-BIO,소개·철학 문단,COMPONENT,IMPLEMENT,REQ-FUNC-058,SCR-002,`/about`,-,DATA-REPRESENTATIVE,`src/app/_components/scr002/BioPhilosophy.tsx`(create),"자기소개·시작 이유·철학 2~4문단, 좌측 텍스트/우측 사진; Lorem ipsum 금지",좌우 분할,해당 없음,E2E-PUBLIC-SMOKE,P0,TASKS/TASK-CMP-SCR002-BIO.md,True,W05
14,CMP-SCR002-TIMELINE,여행 Timeline,COMPONENT,IMPLEMENT,REQ-FUNC-060,SCR-002,`/about`,-,DATA-REPRESENTATIVE,`src/app/_components/scr002/Timeline.tsx`(create),연도·장소·한 줄 요약 항목 6개 이상 시간순; 최소 6개 미만이면 게시 차단(데이터 게이트),"Timeline 세로/가로 레이아웃, 다른 Section과 시각적으로 구분",해당 없음,E2E-PUBLIC-SMOKE,P0,TASKS/TASK-CMP-SCR002-TIMELINE.md,True,W05
15,CMP-SCR002-COUNTRY-CHIPS,방문 국가 Chip(권역별),COMPONENT,IMPLEMENT,REQ-FUNC-059,SCR-002,`/about`,-,DATA-REPRESENTATIVE,`src/app/_components/scr002/VisitedCountryChips.tsx`(create),권역 그룹 헤더 + 국가 Chip 30개 이상; 30개 미만이면 게시 차단,"Chip 기본 `surface-strong`, 코랄 미사용(선택 상태 없음)",해당 없음,E2E-PUBLIC-SMOKE,P0,TASKS/TASK-CMP-SCR002-COUNTRY-CHIPS.md,True,W05
16,CMP-SCR002-GALLERY,여행 사진 Gallery,COMPONENT,IMPLEMENT(축소),REQ-FUNC-061; REQ-NF-006,SCR-002,`/about`,-,DATA-REPRESENTATIVE,`src/app/_components/scr002/PhotoGallery.tsx`(create),"서로 다른 장소 사진 8장 이상 그리드, `next/image` lazy load; 8장 미만이면 게시 차단, 내용 없는 빈 썸네일 금지",각 사진 실제 장소 설명 alt,이미지는 alt·출처 텍스트만(라이선스 승인 워크플로 없음),E2E-PUBLIC-SMOKE,P0,TASKS/TASK-CMP-SCR002-GALLERY.md,True,W05
17,CMP-SCR002-RECOMMENDED-DEST-CTA,추천 여행지 4개 + 문의/SNS + CTA,COMPONENT,IMPLEMENT,"REQ-FUNC-062,063",SCR-002,`/about`,-,"DATA-REPRESENTATIVE, DATA-DESTINATIONS",`src/app/_components/scr002/RecommendedDestinations.tsx`(create),"추천 여행지 카드 4개(→SCR-001 상세 Drawer 연결), 문의·SNS 링크(빈 값 생략), CTA Banner(""여행 준비 시작하기""/""동행 찾아보기""); 빈 링크는 렌더링 생략(빈 자리 아님)",카드+배너 혼합으로 시각 리듬 변화,해당 없음,E2E-PUBLIC-SMOKE,P0,TASKS/TASK-CMP-SCR002-RECOMMENDED-DEST-CTA.md,True,W05
18,CMP-SCR003-TAB-SHELL,항공/숙소/동행 탭 셸,COMPONENT,IMPLEMENT,"(구조 — REQ-FUNC-011,019,027의 탭 프레임)",SCR-003,`/travel-tools`,-,-,`src/app/_components/scr003/TabShell.tsx`(create),"탭 3개 전환, `tab_state_isolation_required` 준수(탭 전환 시 다른 탭 값 유지·혼입 없음)","활성 탭 코랄 언더라인, Intro 1~3문장",해당 없음,E2E-TRAVEL-TOOLS,P0,TASKS/TASK-CMP-SCR003-TAB-SHELL.md,True,W06
19,CMP-SCR003-FLIGHT-TAB,항공 탭(입력·검증·요약·외부이동),COMPONENT,IMPLEMENT(축소),REQ-FUNC-011~018; REQ-NF-017,SCR-003,`/travel-tools`,-,CMP-SCR003-TAB-SHELL,`src/app/_components/scr003/FlightTab.tsx`(create),"국가·지역·출발일·귀국일 필수 입력, 국가 변경 시 지역 초기화, 날짜 검증(과거일·역전일 차단), 요약 표시, 비전달 고지, `noopener,noreferrer` 새 탭 이동, URL 미설정 시 오류+재시도; Tip 3개 실 콘텐츠","코랄 CTA ""항공편 보러 가기"" 1개",입력값 서버 DB·로그·URL query 미저장(클라이언트 상태만),"UNIT-TRAVEL-DATES, E2E-TRAVEL-TOOLS",P0,TASKS/TASK-CMP-SCR003-FLIGHT-TAB.md,True,W06
20,CMP-SCR003-HOTEL-TAB,숙소 탭(입력·검증·요약·외부이동),COMPONENT,IMPLEMENT(축소),REQ-FUNC-019~026; REQ-NF-017,SCR-003,`/travel-tools`,-,CMP-SCR003-TAB-SHELL,`src/app/_components/scr003/HotelTab.tsx`(create),"숙박 국가·지역·체크인·체크아웃 필수 입력, 지역 초기화, 날짜 검증(체크아웃≤체크인 차단), 요약, 비전달 고지, 새 탭 이동, 오류 시 입력 유지+재시도; Tip 3개 실 콘텐츠","코랄 CTA ""숙소 보러 가기"" 1개",입력값 서버 DB·로그·URL query 미저장,"UNIT-TRAVEL-DATES, E2E-TRAVEL-TOOLS",P0,TASKS/TASK-CMP-SCR003-HOTEL-TAB.md,True,W06
21,CMP-SCR003-MATE-TAB,동행 작성 탭(폼·연락처 탐지·안전수칙 동의),COMPONENT,IMPLEMENT,"REQ-FUNC-027,031,032,080",SCR-003,`/travel-tools`,-,"CMP-SCR003-TAB-SHELL, API-MATES-WRITE",`src/app/_components/scr003/MateWriteForm.tsx`(create),"미인증/미성년 시 로그인·성인확인 안내로 Form 대체, 제목·국가·지역·기간·인원·조건·스타일·설명·안전수칙 동의 입력, 날짜 검증, 정규식 기반 전화번호·이메일·메신저 ID 탐지 후 제출 차단; 연락처 패턴 발견 시 구체적 수정 안내(모호 문구 금지)","코랄 CTA ""모집글 게시하기""",안전수칙 동의 시각·정책 버전 저장,"UNIT-CONTACT-DETECTION, E2E-TRAVEL-TOOLS, E2E-MATE-AUTH",P0,TASKS/TASK-CMP-SCR003-MATE-TAB.md,True,W06
22,CMP-SCR004-FILTER-LIST,동행 목록·필터·자동 마감,COMPONENT,IMPLEMENT,"REQ-FUNC-030,037; REQ-NF-004",SCR-004,`/mates`,-,API-MATES-READ,`src/app/_components/scr004/MateFilterList.tsx`(create),"국가·지역·기간 겹침·연령대·성별·스타일·모집상태 필터, 차단 사용자 글 제외, 조회 시 `end_date` 경과분 CLOSED 판정(배치 없음), 최대 8개 카드 우선 노출 + 결과 요약; 0건 시 필터 초기화+이용 방법+작성 CTA 완성형 Empty State",코랄 없이 필터 Chip 사용(선택 상태만 coral-soft),차단 관계 상호 비노출,"UNIT-TRAVEL-DATES(자동마감 계산), E2E-MATE-AUTH",P0,TASKS/TASK-CMP-SCR004-FILTER-LIST.md,True,W07
23,CMP-SCR004-DETAIL-PANEL,동행 상세 패널(Desktop 분할/Mobile Drawer),COMPONENT,IMPLEMENT,"REQ-FUNC-033,069",SCR-004,`/mates`,-,API-MATES-READ,`src/app/_components/scr004/MateDetailPanel.tsx`(create),"작성자·조건·설명 표시(연락처 필드 응답 자체에 미포함), 공유 버튼",Desktop 좌우 분할/Mobile Drawer 전환,HTML/JSON 응답에 이메일·전화번호 필드 자체를 포함하지 않음,E2E-MATE-AUTH,P0,TASKS/TASK-CMP-SCR004-DETAIL-PANEL.md,True,W07
24,CMP-SCR004-APPLICATION,참가 요청·승인·거절·Toast,COMPONENT,IMPLEMENT,"REQ-FUNC-034,035,043",SCR-004,`/mates`,-,API-MATES-APPLICATIONS,`src/app/_components/scr004/ApplicationForm.tsx`(create),"500자 제한 비공개 메시지 제출, 동일 글 중복 PENDING/ACCEPTED 차단, 제출 후 인앱 Toast 알림(실제 이메일 발송 없음)","코랄 CTA ""참여 신청하기""",메시지는 작성자·요청자만 열람(RLS),"UNIT-MATE-STATE, E2E-MATE-AUTH",P0,TASKS/TASK-CMP-SCR004-APPLICATION.md,True,W07
25,CMP-SCR004-REPORT-BLOCK,신고·차단 버튼/폼,COMPONENT,IMPLEMENT,"REQ-FUNC-039,040; REQ-NF-019",SCR-004,`/mates`,-,API-MODERATION,`src/app/_components/scr004/ReportBlockActions.tsx`(create),"사유 코드+설명 신고 제출, 접수 ID 표시, 차단/차단 해제","안전 안내 CTA Banner(""여행 준비 이어가기"" → SCR-003)","신고자·피신고자 상세는 관리자만 접근, 차단 후 상호 콘텐츠 미노출","UNIT-MATE-STATE, E2E-MATE-AUTH",P0,TASKS/TASK-CMP-SCR004-REPORT-BLOCK.md,True,W07
26,CMP-SCR005-AUTH,로그인/가입/비밀번호 재설정,COMPONENT,IMPLEMENT,REQ-FUNC-066,SCR-005,`/account`,-,"CMP-GLOBAL-AUTH-CALLBACK, DB-SCHEMA-BASE",`src/app/_components/scr005/AuthPanel.tsx`(create),"Guest 탭: Intro, 로그인/가입 Card, 로그인 후 가능 기능 목록, 보안 안내; Supabase Auth 이메일 인증·로그인·로그아웃·비번 재설정","코랄 CTA ""로그인""/""가입하기""",미인증 이메일은 동행 쓰기 권한 없음,E2E-MATE-AUTH,P0,TASKS/TASK-CMP-SCR005-AUTH.md,True,W08
27,CMP-SCR005-PROFILE,프로필·성인 확인,COMPONENT,IMPLEMENT,"REQ-FUNC-028,029",SCR-005,`/account`,-,API-ACCOUNT,`src/app/_components/scr005/ProfilePanel.tsx`(create),"닉네임·연령대·스타일 필수, 성별 선택, 성인 확인 절차(배지: 완료/필요)",배지는 `color.success`/`color.warning` + 텍스트,"정확한 생년월일 미저장, `is_adult`+`adult_verified_at`만 저장",E2E-MATE-AUTH,P0,TASKS/TASK-CMP-SCR005-PROFILE.md,True,W08
28,CMP-SCR005-MY-ACTIVITY,내 글·참가 요청·차단 관리·탈퇴,COMPONENT,IMPLEMENT(축소),"REQ-FUNC-036,038,045; REQ-NF-018",SCR-005,`/account`,-,"API-MATES-WRITE, API-MATES-APPLICATIONS, API-ACCOUNT, CMP-SCR003-MATE-TAB",`src/app/_components/scr005/MyActivityPanel.tsx`(create),"내 글 목록(수정·마감·삭제, Form은 `CMP-SCR003-MATE-TAB` 재사용), 받은/보낸 참가 요청 승인·거절, 차단 목록 해제, 탈퇴·삭제 요청 버튼; 내 글/참가 요청/차단 목록 각각 0건 시 완성형 Empty State",새 동행글 작성 CTA 상단 고정,"탈퇴 시 즉시 비식별화, 30일 후 물리 삭제는 범위 밖(§3 참고)","E2E-MATE-AUTH, UNIT-MATE-STATE",P0,TASKS/TASK-CMP-SCR005-MY-ACTIVITY.md,True,W08
29,CMP-SCR005-ADMIN,신고 상태 처리·외부 URL 설정,COMPONENT,IMPLEMENT(축소),"REQ-FUNC-041,042,077",SCR-005,`/account`,-,"API-MODERATION, API-ADMIN-SETTINGS",`src/app/_components/scr005/AdminPanel.tsx`(create),"신고 목록(OPEN/RESOLVED/DISMISSED 필터), 상태 변경, 항공·숙소 외부 URL HTTPS 허용목록 설정; 신고 0건 시 안내 문구만(액션 불필요)",대시보드·통계 없음(목록+설정 폼만),HTTP·javascript·data URL 저장 차단,"E2E-MATE-AUTH, TEST-RLS-BASIC",P0,TASKS/TASK-CMP-SCR005-ADMIN.md,True,W08
30,CMP-GLOBAL-HEADER-FOOTER,전역 Header/Footer,COMPONENT,IMPLEMENT,"REQ-FUNC-064,065",-,전체 Route,`src/app/layout.tsx`,CMP-GLOBAL-DESIGN-TOKENS,`src/app/layout.tsx`(modify),"5개 Screen 공통 내비게이션(홈/대표소개/여행준비/동행찾기/계정)·Footer(서비스/정책/문의 3열), 320px부터 반응형","Header 80px Desktop/64px Mobile, Footer 흰 배경",해당 없음,"E2E-PUBLIC-SMOKE, E2E-TRAVEL-TOOLS, E2E-MATE-AUTH",P0,TASKS/TASK-CMP-GLOBAL-HEADER-FOOTER.md,True,W01
31,CMP-GLOBAL-DESIGN-TOKENS,D-001 디자인 토큰 적용(Tailwind),COMPONENT,IMPLEMENT,(기반 — 전 Screen 시각 일관성),-,-,-,-,"`tailwind.config.ts`(create/modify), `src/app/globals.css`(modify)",`design-reference/D-001/DESIGN.md`의 컬러·타이포·spacing·radius·shadow 토큰을 Tailwind 테마로 등록,"코랄 `#FF6B4A` 등 승인 토큰만 사용, 미등록 임의 색상 추가 금지",해당 없음,MANUAL-A11Y-CHECK,P0,TASKS/TASK-CMP-GLOBAL-DESIGN-TOKENS.md,True,W01
32,CMP-GLOBAL-A11Y,접근성 공통 컴포넌트(포커스·ARIA),COMPONENT,IMPLEMENT,REQ-FUNC-079; REQ-NF-023,-,전체 Route,-,CMP-GLOBAL-DESIGN-TOKENS,`src/app/_components/a11y/FocusRing.tsx`(create),"폼·모달·탭·알림에 올바른 HTML 시맨틱+ARIA, `:focus-visible` 2px 아웃라인, 44px 터치 영역","색상 단독 상태 구분 금지, 텍스트 라벨 병기",해당 없음,MANUAL-A11Y-CHECK,P1,TASKS/TASK-CMP-GLOBAL-A11Y.md,True,W01
33,CMP-GLOBAL-SEO-META,공개 페이지 메타데이터,COMPONENT,IMPLEMENT,REQ-FUNC-070; REQ-NF-030,-,전체 Route,-,-,"`src/app/page.tsx`, `src/app/about/page.tsx` 등 각 `page.tsx`(modify, `generateMetadata`)",title/description/canonical/Open Graph 페이지별 고유 값,해당 없음,해당 없음,RELEASE-CHECK-VERCEL-SUPABASE,P1,TASKS/TASK-CMP-GLOBAL-SEO-META.md,True,W09
34,CMP-GLOBAL-NOT-FOUND,404 오류 화면,COMPONENT,IMPLEMENT,REQ-FUNC-078(404 부분),-,`*`,`src/app/not-found.tsx`,CMP-GLOBAL-HEADER-FOOTER,`src/app/not-found.tsx`(create),홈으로/이전 페이지 복구 행동 최소 1개,D-001 톤 유지(별도 다크 배경 없음),해당 없음,E2E-PUBLIC-SMOKE,P1,TASKS/TASK-CMP-GLOBAL-NOT-FOUND.md,True,W01
35,CMP-GLOBAL-ERROR-BOUNDARY,500/권한없음/외부연결실패 오류 화면,COMPONENT,IMPLEMENT,REQ-FUNC-078(500/권한없음/외부연결실패 부분),-,`*`,`src/app/error.tsx`,CMP-GLOBAL-HEADER-FOOTER,`src/app/error.tsx`(create),"재시도/홈 복구 행동 제공, 외부 사이트 연결 실패 시 전용 안내",동일 D-001 톤,오류 메시지에 내부 스택/민감정보 노출 금지,E2E-TRAVEL-TOOLS,P1,TASKS/TASK-CMP-GLOBAL-ERROR-BOUNDARY.md,True,W01
36,CMP-GLOBAL-ROOT-ERROR-BOUNDARY,전역 치명적 오류 화면,COMPONENT,IMPLEMENT(최선노력),REQ-FUNC-078(전역 대비),-,`*`,`src/app/global-error.tsx`,-,`src/app/global-error.tsx`(create),앱 전체 렌더링 실패 시 최소 복구 UI(새로고침),최소 스타일(레이아웃 자체가 실패한 상황 대비),해당 없음,MANUAL-PERF-CHECK,P2,TASKS/TASK-CMP-GLOBAL-ROOT-ERROR-BOUNDARY.md,True,W01
